agent_id	 startSearchTime	 parkTime	 searchTime	 distanceToDestination	 parkingLotId
8888#2043351896747706293	 504	 595	 91	 1.838075e+002	 sp-14_a
8989#-1981901537722229216	 539	 1526	 987	 2.529529e+002	 sp-76
9090#-7596193424705443116	 496	 1037	 541	 2.529529e+002	 sp-10_b
9191#7697808735195481941	 549	 -99	 -99	 -99	 --
9292#9179428668027386580	 525	 895	 370	 2.060847e+002	 sp-2_a
9393#6991737377964053101	 563	 1094	 531	 1.767550e+002	 sp-80
9494#-365713489521437875	 534	 733	 199	 1.838075e+002	 sp-88
9595#-1469375312698613504	 567	 -99	 -99	 -99	 --
9696#-3248040388232162198	 533	 1002	 469	 3.045597e+002	 sp-108_b
9797#3284360270291100575	 567	 665	 98	 2.663232e+002	 sp-72
9898#-9204264813165127766	 561	 -99	 -99	 -99	 --
9999#7438164244255532619	 593	 815	 222	 1.838075e+002	 sp-88
